chain_step,chain_id,content,count
1,1,BMC,1
1,1,BFC,1
1,1,PMC,2
1,1,PFC,1
1,1,BMI,0
1,1,PFI,2
1,1,BFI,0
1,1,PMI,0
2,1,BMC,0
2,1,BFC,0
2,1,PMC,2
2,1,PFC,1
2,1,BMI,0
2,1,PFI,2
2,1,BFI,0
2,1,PMI,0
3,1,BMC,0
3,1,BFC,0
3,1,PMC,2
3,1,PFC,1
3,1,BMI,0
3,1,PFI,2
3,1,BFI,0
3,1,PMI,0
1,2,BMC,1
1,2,BFC,1
1,2,PMC,2
1,2,PFC,1
1,2,BMI,0
1,2,PFI,2
1,2,BFI,0
1,2,PMI,0
2,2,BMC,1
2,2,BFC,1
2,2,PMC,2
2,2,PFC,1
2,2,BMI,0
2,2,PFI,2
2,2,BFI,0
2,2,PMI,0
3,2,BMC,0
3,2,BFC,0
3,2,PMC,2
3,2,PFC,1
3,2,BMI,0
3,2,PFI,2
3,2,BFI,0
3,2,PMI,0
1,3,BMC,1
1,3,BFC,1
1,3,PMC,2
1,3,PFC,1
1,3,BMI,0
1,3,PFI,2
1,3,BFI,0
1,3,PMI,0
2,3,BMC,1
2,3,BFC,1
2,3,PMC,2
2,3,PFC,1
2,3,BMI,0
2,3,PFI,2
2,3,BFI,0
2,3,PMI,0
3,3,BMC,1
3,3,BFC,1
3,3,PMC,2
3,3,PFC,0
3,3,BMI,0
3,3,PFI,2
3,3,BFI,0
3,3,PMI,0
1,4,BMC,1
1,4,BFC,1
1,4,PMC,2
1,4,PFC,1
1,4,BMI,0
1,4,PFI,2
1,4,BFI,0
1,4,PMI,0
2,4,BMC,1
2,4,BFC,1
2,4,PMC,2
2,4,PFC,0
2,4,BMI,0
2,4,PFI,2
2,4,BFI,0
2,4,PMI,0
3,4,BMC,1
3,4,BFC,1
3,4,PMC,2
3,4,PFC,0
3,4,BMI,0
3,4,PFI,2
3,4,BFI,0
3,4,PMI,0
1,5,BMC,1
1,5,BFC,0
1,5,PMC,2
1,5,PFC,1
1,5,BMI,2
1,5,PFI,2
1,5,BFI,0
1,5,PMI,1
2,5,BMC,1
2,5,BFC,0
2,5,PMC,2
2,5,PFC,1
2,5,BMI,2
2,5,PFI,2
2,5,BFI,0
2,5,PMI,1
3,5,BMC,1
3,5,BFC,0
3,5,PMC,2
3,5,PFC,1
3,5,BMI,2
3,5,PFI,2
3,5,BFI,0
3,5,PMI,1
