chain_step,chain_id,content,count
1,1,negative,1
1,1,positive,0
1,1,neutral,2
2,1,negative,1
2,1,positive,0
2,1,neutral,1
3,1,negative,1
3,1,positive,0
3,1,neutral,1
1,2,negative,2
1,2,positive,0
1,2,neutral,0
2,2,negative,2
2,2,positive,0
2,2,neutral,0
3,2,negative,2
3,2,positive,0
3,2,neutral,0
1,3,negative,1
1,3,positive,0
1,3,neutral,1
2,3,negative,2
2,3,positive,0
2,3,neutral,0
3,3,negative,2
3,3,positive,0
3,3,neutral,0
1,4,negative,2
1,4,positive,0
1,4,neutral,1
2,4,negative,3
2,4,positive,0
2,4,neutral,0
3,4,negative,3
3,4,positive,0
3,4,neutral,0
1,5,negative,2
1,5,positive,1
1,5,neutral,0
2,5,negative,2
2,5,positive,1
2,5,neutral,0
3,5,negative,2
3,5,positive,1
3,5,neutral,0
