chain_step,chain_id,content,count,
1,1,Goss,12,
1,1,Ind,4,
1,1,Phys,4,
1,1,Social,6,
1,2,Goss,13,
1,2,Ind,4,
1,2,Phys,2,
1,2,Social,4,
1,3,Goss,11,
1,3,Ind,4,
1,3,Phys,5,
1,3,Social,4,
1,4,Goss,9,
1,4,Ind,4,
1,4,Phys,4,
1,4,Social,4,
1,5,Goss,13,
1,5,Ind,4,
1,5,Phys,4,
1,5,Social,5,
2,1,Goss,12,
2,1,Ind,4,
2,1,Phys,0,
2,1,Social,6,
2,2,Goss,8,
2,2,Ind,4,
2,2,Phys,0,
2,2,Social,4,
2,3,Goss,9,
2,3,Ind,4,
2,3,Phys,0,
2,3,Social,4,
2,4,Goss,8,
2,4,Ind,4,
2,4,Phys,0,
2,4,Social,3,
2,5,Goss,13,
2,5,Ind,4,
2,5,Phys,0,
2,5,Social,4,
3,1,Goss,9,
3,1,Ind,4,
3,1,Phys,0,
3,1,Social,6,
3,2,Goss,8,
3,2,Ind,4,
3,2,Phys,0,
3,2,Social,3,
3,3,Goss,8,
3,3,Ind,4,
3,3,Phys,0,
3,3,Social,3,
3,4,Goss,8,
3,4,Ind,4,
3,4,Phys,0,
3,4,Social,3,
3,5,Goss,11,
3,5,Ind,4,
3,5,Phys,0,
3,5,Social,3,
