chain_step,chain_id,content,count
1,1,negative,1
1,1,threat,2
1,1,neutral,4
2,1,negative,1
2,1,threat,2
2,1,neutral,3
3,1,negative,1
3,1,threat,2
3,1,neutral,2
4,1,negative,1
4,1,threat,2
4,1,neutral,1
5,1,negative,0
5,1,threat,2
5,1,neutral,1
1,2,negative,1
1,2,threat,2
1,2,neutral,4
2,2,negative,0
2,2,threat,2
2,2,neutral,4
3,2,negative,0
3,2,threat,2
3,2,neutral,3
4,2,negative,0
4,2,threat,2
4,2,neutral,2
5,2,negative,0
5,2,threat,2
5,2,neutral,1
1,3,negative,2
1,3,threat,2
1,3,neutral,3
2,3,negative,1
2,3,threat,2
2,3,neutral,3
3,3,negative,1
3,3,threat,2
3,3,neutral,2
4,3,negative,0
4,3,threat,2
4,3,neutral,2
5,3,negative,0
5,3,threat,2
5,3,neutral,1
1,4,negative,2
1,4,threat,2
1,4,neutral,3
2,4,negative,1
2,4,threat,2
2,4,neutral,3
3,4,negative,1
3,4,threat,2
3,4,neutral,2
4,4,negative,0
4,4,threat,2
4,4,neutral,2
5,4,negative,0
5,4,threat,2
5,4,neutral,1
1,5,negative,2
1,5,threat,2
1,5,neutral,3
2,5,negative,1
2,5,threat,2
2,5,neutral,3
3,5,negative,1
3,5,threat,2
3,5,neutral,2
4,5,negative,1
4,5,threat,2
4,5,neutral,1
5,5,negative,0
5,5,threat,2
5,5,neutral,1
