Number,Proposition,Type_1,Type_2,Tyoe_3
24,"HUNT, PEOPLE, MATA, PATA",Social_Gossip,Survival,Emo_Neg
76,"UNTIL, 73, 74, 75",Rational,CI_B1,
94,"BECOME GREAT RIVER, TEARS",Rational,CI_B1,
96,"FROM, HAIRS, MATA, HEAD, 95",Rational,CI_B2,
78,"DART AWAY, SPARK",Emo_Neg,CI_M1,
230,"PROUDLY, SHINE",Emo_Posi,CI_M1,
139,"CALL, ANIMALS, SPIDER",Social_Basic,CI_M2,
152,"SUMMON TOGETHER, SPIDER, ANIMALS",Social_Basic,CI_M2,
159,"DECIDE, ANIMALS, 158",Social_Basic,CI_M2,
169,"SAY, SPIDER",Social_Basic,CI_M2,
172,"TALK, ANIMALS",Social_Basic,CI_M2,
176,"ASK, SPIDER",Social_Basic,CI_M2,
180,"SAY, BIRD",Social_Basic,CI_M2,
191,"DISAGREE, SNAKE",Social_Basic,CI_M2,
196,"SAY, WOLF",Social_Basic,CI_M2,
217,"SHOUT, SPIDER",Social_Basic,CI_M2,
166,"CLAIM, BIRD, SKIES",Survival,CI_M2,
9,"FLEE TO, MATA, PATA, WORLD",Emo_Neg,CI_P1,
112,"PULL OFF EACH OF, MUKI, SPIDER, LEGS",Social_Basic,Emo_Neg,
117,"TEAR, MUKI, SNAKE",Social_Basic,Emo_Neg,
131,"TEAR OFF, MUKI, SPIDER, LEGS",Social_Basic,Emo_Neg,
194,"SEEK TO HARM, PEOPLE, MUKI",Social_Gossip,Emo_Neg,
126,"BARE, SNAKE, FANGS",Survival,Emo_Neg,
43,"PRESS TO, MATA, CHILD, KISSES, CHEEK",Social_Basic,Emo_Posi,
232,"IS GOOD, 231",Emo_Posi,Moral,
7,"NOT APPROVE OF, ELDER ONES, MARRIAGE",Social_Gossip,Moral,
115,"FROM PAIN, 114",Emo_Neg,Rational,
265,"SO, 254, 263",Moral,Rational,
67,"FOR, 66, MILK",Survival,Rational,
224,"WHEN, 221, 222, 223",Survival,Rational,
228,"WHEN, 225, 226, 227",Survival,Rational,
123,"EAT, MUKI, HALF SNAKE",Social_Basic,Survival,
83,"SCRAPE, MUKI, LAND, VALLEYS",CI_B1,,
85,"CHURN UP, TANTRUM, HILLS",CI_B1,,
173,"SHAKE, MUKI, GROUND",CI_B1,,
91,"GIVE, 90, LIFE",CI_B2,,
103,"BECOME, HAIRS, SPIDERS",CI_B2,,
236,"COME OUT OF, PEOPLE, CLAY",CI_B2,,
243,"BECOME, CHILD, MOUNTAIN",CI_B2,,
116,"BECOME, SPIDER, SNAKE",CI_B3,,
121,"IS, HALF SNAKE, FISH",CI_B3,,
135,"BECOME, SPIDER, WOLF",CI_B3,,
147,"FORM, LEGS, WINGS, SPIDER",CI_B3,,
150,"BECOME, SPIDER, BIRD",CI_B3,,
54,"WANDER ABOUT, SPARK",CI_M1,,
216,"WANDERING, SPARK",CI_M1,,
225,"REST, SUN",CI_M1,,
261,"HEAR, MUKI, 257, 259, 260",CI_M1,,
263,"KNOW, 262, MUKI",CI_M1,,
142,"CLEVER, SPIDER",CI_M2,,
151,"CLEVER, BIRD",CI_M2,,
5,"BEYOND, PLACE OF PEOPLE,  REALM OF SKY",CI_P1,,
6,"FARTHER AWAY THAN, PLACE OF PEOPLE, STARS STRETCH",CI_P1,,
185,"IN, VOICES, SKY",CI_P1,,
40,"HANG, PATA, HAMMOCK, SKY",CI_P2,,
51,"AMONG, SPARK, STARS",CI_P2,,
73,"BEAT, CHILD, EARTH, FISTS",Emo_Neg,,
77,"CRY, MUKI",Emo_Neg,,
86,"TANTRUM, CHILD",Emo_Neg,,
90,"BLOOD, MUKI",Emo_Neg,,
