Chain_step,Chain_id,Content,Count
1,1,CI_B,5
1,1,CI_M,1
1,1,CI_P,1
1,1,Emo_Neg,3
1,1,Emo_Posi,1
1,1,Moral,1
1,1,None,15
1,1,Rational,4
1,1,Social_Basic,6
1,1,Social_Gossip,3
1,1,Survival,1
1,2,CI_B,6
1,2,CI_M,1
1,2,CI_P,1
1,2,Emo_Neg,2
1,2,Emo_Posi,1
1,2,Moral,2
1,2,None,12
1,2,Rational,4
1,2,Social_Basic,7
1,2,Social_Gossip,2
1,2,Survival,1
1,3,CI_B,6
1,3,CI_M,3
1,3,CI_P,1
1,3,Emo_Neg,2
1,3,Emo_Posi,1
1,3,Moral,2
1,3,None,21
1,3,Rational,4
1,3,Social_Basic,7
1,3,Social_Gossip,1
1,3,Survival,3
1,4,CI_B,7
1,4,CI_M,0
1,4,CI_P,1
1,4,Emo_Neg,3
1,4,Emo_Posi,1
1,4,Moral,0
1,4,None,19
1,4,Rational,5
1,4,Social_Basic,4
1,4,Social_Gossip,1
1,4,Survival,3
1,5,CI_B,4
1,5,CI_M,1
1,5,CI_P,0
1,5,Emo_Neg,4
1,5,Emo_Posi,1
1,5,Moral,1
1,5,Rational,3
1,5,Social_Basic,6
1,5,Social_Gossip,3
1,5,Survival,2
2,1,CI_B,2
2,1,CI_M,0
2,1,CI_P,1
2,1,Emo_Neg,0
2,1,Emo_Posi,1
2,1,Moral,0
2,1,Rational,3
2,1,Social_Basic,4
2,1,Social_Gossip,1
2,1,Survival,0
2,2,CI_B,5
2,2,CI_M,0
2,2,CI_P,1
2,2,Emo_Neg,2
2,2,Emo_Posi,1
2,2,Moral,0
2,2,Rational,4
2,2,Social_Basic,5
2,2,Social_Gossip,1
2,2,Survival,1
2,3,CI_B,3
2,3,CI_M,1
2,3,CI_P,1
2,3,Emo_Neg,2
2,3,Emo_Posi,1
2,3,Moral,0
2,3,Rational,4
2,3,Social_Basic,4
2,3,Social_Gossip,1
2,3,Survival,2
2,4,CI_B,4
2,4,CI_M,0
2,4,CI_P,0
2,4,Emo_Neg,2
2,4,Emo_Posi,1
2,4,Moral,0
2,4,Rational,5
2,4,Social_Basic,4
2,4,Social_Gossip,1
2,4,Survival,2
2,5,CI_B,5
2,5,CI_M,0
2,5,CI_P,0
2,5,Emo_Neg,2
2,5,Emo_Posi,1
2,5,Moral,0
2,5,Rational,3
2,5,Social_Basic,3
2,5,Social_Gossip,1
2,5,Survival,2
3,1,CI_B,2
3,1,CI_M,0
3,1,CI_P,1
3,1,Emo_Neg,0
3,1,Emo_Posi,1
3,1,Moral,0
3,1,Rational,3
3,1,Social_Basic,4
3,1,Social_Gossip,0
3,1,Survival,0
3,2,CI_B,4
3,2,CI_M,0
3,2,CI_P,1
3,2,Emo_Neg,1
3,2,Emo_Posi,1
3,2,Moral,0
3,2,Rational,4
3,2,Social_Basic,4
3,2,Social_Gossip,0
3,2,Survival,0
3,3,CI_B,3
3,3,CI_M,0
3,3,CI_P,1
3,3,Emo_Neg,2
3,3,Emo_Posi,1
3,3,Moral,0
3,3,Rational,4
3,3,Social_Basic,4
3,3,Social_Gossip,1
3,3,Survival,1
3,4,CI_B,4
3,4,CI_M,0
3,4,CI_P,0
3,4,Emo_Neg,2
3,4,Emo_Posi,1
3,4,Moral,0
3,4,Rational,5
3,4,Social_Basic,3
3,4,Social_Gossip,1
3,4,Survival,2
3,5,CI_B,3
3,5,CI_M,0
3,5,CI_P,0
3,5,Emo_Neg,2
3,5,Emo_Posi,1
3,5,Moral,0
3,5,Rational,3
3,5,Social_Basic,4
3,5,Social_Gossip,1
3,5,Survival,2
