Chain_step,Chain_id,Content,Total
1,1,CI_B,0
1,1,CI_M,0
1,1,CI_P,2
1,1,Moral,0
1,1,Negative,4
1,1,Positive,0
1,1,Rational,1
1,1,Social_Basic,3
1,1,Social_Gossip,1
1,1,Survival,1
1,2,CI_B,1
1,2,CI_M,2
1,2,CI_P,2
1,2,Moral,0
1,2,Negative,4
1,2,Positive,1
1,2,Rational,4
1,2,Social_Basic,7
1,2,Social_Gossip,1
1,2,Survival,3
1,3,CI_B,2
1,3,CI_M,2
1,3,CI_P,2
1,3,Moral,0
1,3,Negative,5
1,3,Positive,1
1,3,Rational,5
1,3,Social_Basic,6
1,3,Social_Gossip,1
1,3,Survival,3
1,4,CI_B,2
1,4,CI_M,0
1,4,CI_P,1
1,4,Moral,0
1,4,Negative,5
1,4,Positive,0
1,4,Rational,2
1,4,Social_Basic,4
1,4,Social_Gossip,1
1,4,Survival,3
1,5,CI_B,1
1,5,CI_M,0
1,5,CI_P,1
1,5,Moral,0
1,5,Negative,5
1,5,Positive,0
1,5,Rational,0
1,5,Social_Basic,4
1,5,Social_Gossip,0
1,5,Survival,2
2,1,CI_B,0
2,1,CI_M,0
2,1,CI_P,0
2,1,Moral,0
2,1,Negative,4
2,1,Positive,0
2,1,Rational,0
2,1,Social_Basic,1
2,1,Social_Gossip,0
2,1,Survival,0
2,2,CI_B,0
2,2,CI_M,0
2,2,CI_P,0
2,2,Moral,0
2,2,Negative,4
2,2,Positive,0
2,2,Rational,0
2,2,Social_Basic,3
2,2,Social_Gossip,0
2,2,Survival,0
2,3,CI_B,0
2,3,CI_M,2
2,3,CI_P,2
2,3,Moral,0
2,3,Negative,4
2,3,Positive,1
2,3,Rational,1
2,3,Social_Basic,2
2,3,Social_Gossip,1
2,3,Survival,1
2,4,CI_B,0
2,4,CI_M,0
2,4,CI_P,0
2,4,Moral,0
2,4,Negative,4
2,4,Positive,0
2,4,Rational,0
2,4,Social_Basic,2
2,4,Social_Gossip,0
2,4,Survival,0
2,5,CI_B,0
2,5,CI_M,0
2,5,CI_P,0
2,5,Moral,0
2,5,Negative,4
2,5,Positive,0
2,5,Rational,0
2,5,Social_Basic,3
2,5,Social_Gossip,0
2,5,Survival,0
3,1,CI_B,0
3,1,CI_M,0
3,1,CI_P,0
3,1,Moral,0
3,1,Negative,2
3,1,Positive,0
3,1,Rational,0
3,1,Social_Basic,1
3,1,Social_Gossip,0
3,1,Survival,0
3,2,CI_B,0
3,2,CI_M,0
3,2,CI_P,0
3,2,Moral,0
3,2,Negative,4
3,2,Positive,0
3,2,Rational,0
3,2,Social_Basic,1
3,2,Social_Gossip,0
3,2,Survival,0
3,3,CI_B,0
3,3,CI_M,0
3,3,CI_P,0
3,3,Moral,0
3,3,Negative,4
3,3,Positive,0
3,3,Rational,0
3,3,Social_Basic,1
3,3,Social_Gossip,0
3,3,Survival,0
3,4,CI_B,0
3,4,CI_M,0
3,4,CI_P,0
3,4,Moral,0
3,4,Negative,4
3,4,Positive,0
3,4,Rational,0
3,4,Social_Basic,1
3,4,Social_Gossip,0
3,4,Survival,0
3,5,CI_B,0
3,5,CI_M,0
3,5,CI_P,0
3,5,Moral,0
3,5,Negative,4
3,5,Positive,0
3,5,Rational,0
3,5,Social_Basic,1
3,5,Social_Gossip,0
3,5,Survival,0
