Chain_step,Chain_id,Content,Original,Total
1,1,CI_B,2,0
1,1,CI_M,9,0
1,1,CI_P,9,2
1,1,Moral,8,0
1,1,Negative,15,4
1,1,Positive,9,0
1,1,Rational,21,1
1,1,Social_Basic,33,4
1,1,Social_Gossip,10,1
1,1,Survival,22,2
1,2,CI_B,2,0
1,2,CI_M,9,2
1,2,CI_P,9,2
1,2,Moral,8,0
1,2,Negative,15,4
1,2,Positive,9,1
1,2,Rational,21,2
1,2,Social_Basic,33,8
1,2,Social_Gossip,10,0
1,2,Survival,22,4
1,3,CI_B,2,1
1,3,CI_M,9,2
1,3,CI_P,9,2
1,3,Moral,8,0
1,3,Negative,15,5
1,3,Positive,9,1
1,3,Rational,21,2
1,3,Social_Basic,33,7
1,3,Social_Gossip,10,1
1,3,Survival,22,4
1,4,CI_B,2,1
1,4,CI_M,9,0
1,4,CI_P,9,1
1,4,Moral,8,0
1,4,Negative,15,5
1,4,Positive,9,0
1,4,Rational,21,1
1,4,Social_Basic,33,2
1,4,Social_Gossip,10,1
1,4,Survival,22,3
1,5,CI_B,2,1
1,5,CI_M,9,0
1,5,CI_P,9,2
1,5,Moral,8,0
1,5,Negative,15,5
1,5,Positive,9,0
1,5,Rational,21,1
1,5,Social_Basic,33,4
1,5,Social_Gossip,10,0
1,5,Survival,22,2
2,1,CI_B,2,0
2,1,CI_M,9,0
2,1,CI_P,9,0
2,1,Moral,8,0
2,1,Negative,15,4
2,1,Positive,9,0
2,1,Rational,21,0
2,1,Social_Basic,33,1
2,1,Social_Gossip,10,0
2,1,Survival,22,0
2,2,CI_B,2,0
2,2,CI_M,9,0
2,2,CI_P,9,0
2,2,Moral,8,0
2,2,Negative,15,4
2,2,Positive,9,0
2,2,Rational,21,1
2,2,Social_Basic,33,4
2,2,Social_Gossip,10,0
2,2,Survival,22,0
2,3,CI_B,2,0
2,3,CI_M,9,2
2,3,CI_P,9,1
2,3,Moral,8,0
2,3,Negative,15,4
2,3,Positive,9,1
2,3,Rational,21,2
2,3,Social_Basic,33,2
2,3,Social_Gossip,10,0
2,3,Survival,22,2
2,4,CI_B,2,0
2,4,CI_M,9,0
2,4,CI_P,9,0
2,4,Moral,8,0
2,4,Negative,15,4
2,4,Positive,9,0
2,4,Rational,21,1
2,4,Social_Basic,33,1
2,4,Social_Gossip,10,0
2,4,Survival,22,0
2,5,CI_B,2,0
2,5,CI_M,9,0
2,5,CI_P,9,0
2,5,Moral,8,0
2,5,Negative,15,4
2,5,Positive,9,0
2,5,Rational,21,1
2,5,Social_Basic,33,2
2,5,Social_Gossip,10,0
2,5,Survival,22,0
3,1,CI_B,2,0
3,1,CI_M,9,0
3,1,CI_P,9,0
3,1,Moral,8,0
3,1,Negative,15,2
3,1,Positive,9,0
3,1,Rational,21,0
3,1,Social_Basic,33,0
3,1,Social_Gossip,10,0
3,1,Survival,22,0
3,2,CI_B,2,0
3,2,CI_M,9,0
3,2,CI_P,9,0
3,2,Moral,8,0
3,2,Negative,15,4
3,2,Positive,9,0
3,2,Rational,21,1
3,2,Social_Basic,33,0
3,2,Social_Gossip,10,0
3,2,Survival,22,0
3,3,CI_B,2,0
3,3,CI_M,9,0
3,3,CI_P,9,0
3,3,Moral,8,0
3,3,Negative,15,4
3,3,Positive,9,0
3,3,Rational,21,1
3,3,Social_Basic,33,0
3,3,Social_Gossip,10,0
3,3,Survival,22,0
3,4,CI_B,2,0
3,4,CI_M,9,0
3,4,CI_P,9,0
3,4,Moral,8,0
3,4,Negative,15,4
3,4,Positive,9,0
3,4,Rational,21,1
3,4,Social_Basic,33,0
3,4,Social_Gossip,10,0
3,4,Survival,22,0
3,5,CI_B,2,0
3,5,CI_M,9,0
3,5,CI_P,9,0
3,5,Moral,8,0
3,5,Negative,15,4
3,5,Positive,9,0
3,5,Rational,21,1
3,5,Social_Basic,33,0
3,5,Social_Gossip,10,0
3,5,Survival,22,0
