Number,Proposition,Type_1,Type_2
15,"WHERE, 12, 14",Rational,CI_B1
31,"CACKLE, PUNA",Social_Basic,CI_M1
53,"CACKLE, PUNA",Social_Basic,CI_M1
91,"DEMAND, ANTS",Social_Basic,CI_M1
177,"SPEAK, KAWA",Social_Basic,CI_M1
146,"IS PLEASED WITH, SEA, ISLAND",Positive,CI_M2
151,"SO, 146, 149",Rational,CI_M2
140,"BIND TO, TORO, ISLAND, SEA FLOOR",Survival,CI_P1
248,"SEND, TAKA, STORMS",Negative,CI_P4
183,"PUNISH FOR, LAZY, CARELESSNESS",Negative,Moral
66,"PROMISE, TORO, PUNA, 65",Social_Basic,Moral
250,"IS DANGEROUS BETWEEN, TRAVEL, HOMES",Survival,Negative
256,"LOVE, TAKA, TORO",Social_Basic,Positive
259,"LOVE, ALL OLDER SISTERS, YOUNGER BROTHERS",Social_Gossip,Positive
269,"PRAISE TODAY, US, GODS",Social_Gossip,Positive
185,"BECAUSE, 182, 184",Moral,Rational
60,"FEED, TORO, PUNA",Social_Basic,Survival
121,"FEAST UPON, BIRDS, ANTS",Social_Basic,Survival
182,"EAT, PUNA, KAWA",Social_Basic,Survival
61,"FEED, TORO, FAMILY",Social_Gossip,Survival
19,"FROM, 18, DROPS",CI_B1,
36,"WORDS, PUNA",CI_M1,
74,"SAY, PUNA",CI_M1,
104,"AGREE, ANTS",CI_M1,
126,"LIFT OFF OF, BIRDS, ISLAND, BEACH",CI_P1,
128,"LIFT INTO, BIRDS, ISLAND, SEA",CI_P1,
130,"PULL, BIRDS, ISLAND",CI_P1,
133,"PULL, BIRDS, ISLAND",CI_P1,
144,"BUILD FROM, TORO, MOUNTAINS, LAND",CI_P2,
188,"FILLED WITH, SHELL, WHISPERS",CI_P3,
262,"SEND, TAKA, WINDS",CI_P4,
56,"NOT PERFORM, TORO, RITES, 53",Moral,
57,"PROPER, RITES",Moral,
72,"MUST, 71",Moral,
210,"IS NOT AS SHOULD BE, 209, 195",Moral,
224,"SHOULD NOT, 221, 216",Moral,
5,"CRASH UPON, TAKA, TORO, ISLAND",Negative,
9,"CUT, FEET, ROCKS",Negative,
13,"TAKA, BLOOD",Negative,
20,"BLOOD, DROPS",Negative,
26,"FEEL JEALOUS, TORO",Negative,
35,"SADDEN, TORO",Negative,
37,"MOCKING, WORDS",Negative,
85,"IN, 84, TERROR",Negative,
119,"DROP FROM, PUNA, FAMILY, SKY",Negative,
165,"DISAPPOINTED, TORO",Negative,
221,"BREAK IN, HUSBAND, SPIRIT, WAY",Negative,
244,"IS NOT HAPPY, TAKA",Negative,
48,"WITH, 42, GRIN",Positive,
122,"SATISFIED FROM, BIRDS, 121",Positive,
155,"IS PROUD, TORO",Positive,
266,"BRING, WINDS, HAPPINESS",Positive,
271,"GOOD, FORTUNE",Positive,
27,"MAKE, 23, 25, 26",Rational,
38,"BY, 35, 36",Rational,
47,"SO, 43, 44, 46, 42",Rational,
65,"UNTIL, 60, 61, 63",Rational,
69,"IF, 66, 67, 68, 59",Rational,
73,"IF, 70, 72, 59",Rational,
86,"BECAUSE, 82, 83, 85",Rational,
103,"IF, 98, 99, 102, 95",Rational,
142,"SO, 140, 141",Rational,
164,"TO, 159, 163",Rational,
200,"THAT, 197, 199",Rational,
214,"OVER, 213, 211",Rational,
230,"IF, 228, 229, 216",Rational,
243,"WHEN, 236, 242",Rational,
247,"THAT, 244, 245",Rational,
254,"SO, 247, 248",Rational,
261,"BECAUSE, 255, 260",Rational,
272,"FOR, 269, 270",Rational,
3,"BROTHER, TORO, TAKA",Social_Basic,
22,"OUR, ANCESTORS",Social_Basic,
23,"LEARN FROM, ANCESTORS, TAKA",Social_Basic,
24,"OUR, ANCESTORS",Social_Basic,
25,"BECOME FRIENDS, ANCESTORS, TAKA",Social_Basic,
62,"FAMILY, PUNA",Social_Basic,
67,"HELP, PUNA, TORO",Social_Basic,
70,"GIVE, TORO, PUNA, SOMETHING",Social_Basic,
71,"RETURN, PUNA, TORO, FAVOR",Social_Basic,
90,"WHY CALL, TORO, ANTS, 91",Social_Basic,
95,"ANNOUNCE, TORO",Social_Basic,
98,"HELP, ANTS, TORO",Social_Basic,
120,"PUNA, FAMILY",Social_Basic,
167,"FIND FOR, TORO, CRAB, TORO",Social_Basic,
168,"SAY TO, TORO, CRAB",Social_Basic,
192,"BEGIN TO SPEAK OF, PEOPLE, RUMORS",Social_Basic,
195,"TELL, HOKI, OTTA",Social_Basic,
196,"WIFE, OTTA, HOKI",Social_Basic,
215,"WENT TO, OTTA, KOHE",Social_Basic,
216,"TELL, OTTA, KOHE",Social_Basic,
217,"SISTER, KOHE, OTTA",Social_Basic,
232,"TOGETHER, PEOPLE",Social_Basic,
238,"OUR, ANCESTORS",Social_Basic,
257,"YOUNGER BROTHER, TORO, TAKA",Social_Basic,
34,"PLAY WITH NOW, TORO, WHOM, 31",Social_Gossip,
45,"PLAY, EVERYONE",Social_Gossip,
68,"HELP, FAMILY, TORO",Social_Gossip,
169,"CARRY TO, CRAB, NEWS, PEOPLE",Social_Gossip,
